title,yearOfRelease,rating
True Memoirs of an International Assassin,2016,2
United States of Love,2016,6
War on Everyone,2016,6
Welcome to Hartmanns,2016,4
Where Am I Going?,2016,7
Why Him?,2016,3
Wiener-Dog,2016,5
Yourself and Yours,2016,6
Zero Days,2016,7
Zootopia,2016,6
12 Days,2017,3
24 Frames,2017,7
47 Meters Down,2017,2
68 Kill,2017,6
A Ghost Story,2017,8
Alien: Covenant,2017,6
Anna Fucking Molnar,2017,5
Araby,2017,8
Arthur & Claire,2017,5
Atomic Blonde,2017,6
Baby Driver,2017,8
Battle of the Sexes,2017,6
Baywatch,2017,3
Bed Bugs,2017,8
Berlin Syndrome,2017,5
Black Mirror: USS Callister,2017,6
Blade Runner 2049,2017,8
Boar,2017,4
Brad's Status,2017,7
Bullyparade: The Movie,2017,3
C'est la vie!,2017,7
Casting,2017,7
Claire's Camera,2017,6
Cold Hell,2017,7
Darkest Hour,2017,7
Dave Chappelle: Equanimity,2017,8
Dave Chappelle: The Age of Spin,2017,8
Dave Chappelle: The Bird Revelation,2017,8
Daybreak,2017,6
Detroit,2017,8
Downsizing,2017,6
Dunkirk,2017,7
Escape Room,2017,1
Euphoria,2017,6
FAR. The Story of a Journey around the World,2017,7
Father Figures,2017,4
Finding Your Feet,2017,4
First Reformed,2017,7
Fist Fight,2017,3
Foreboding: Serial Version,2017,6
Forgotten,2017,7
Geostorm,2017,3
Gerald's Game,2017,7
Get Out,2017,7
Ghost in the Shell,2017,6
Ghost Stories,2017,5
Golden Exits,2017,9
Good Time,2017,8
Green River: The Time of the Yakurunas,2017,6
Guardians of the Galaxy Vol. 2,2017,7
Hangman,2017,3
Happy Death Day,2017,6
Hasan Minhaj: Homecoming King,2017,8
Have a Nice Day,2017,7
House in the Fields,2017,6
"I, Tonya",2017,7
Inflame,2017,5
Ingrid Goes West,2017,6
It,2017,8
It Came from the Desert,2017,2
It Comes at Night,2017,6
Jeune Femme,2017,7
Jim & Andy: The Great Beyond,2017,6
Jumanji: Welcome to the Jungle,2017,7
Jungle,2017,6
Kong: Skull Island,2017,3
Lady Bird,2017,8
Last Flag Flying,2017,7
Life,2017,6
Little Harbour,2017,4
Louis C.K. 2017,2017,6
Loveless,2017,9
Lowlife,2017,7
Lucky,2017,6
Mariphasa,2017,1
Men Don't Cry,2017,6
Molly's Game,2017,7
Mr. Long,2017,10
November,2017,6
Okja,2017,9
Old Love,2017,7
On the Beach at Night Alone,2017,7
One Cut of the Dead,2017,7
Paddington 2,2017,8
Patti Cake$,2017,7
Patton Oswalt: Annihilation,2017,6
Person to Person,2017,7
Pitch Perfect 3,2017,5
Rosamunde Pilcher: Fast noch verheiratet,2017,5
Rough Night,2017,6
Sand and Blood,2017,6
Shock Wave,2017,4
Snatched,2017,4
Sollers Point,2017,6
Some Like It Veiled,2017,4
Spider-Man: Homecoming,2017,6
Spit’n’Split,2017,6
Star Wars: The Last Jedi,2017,7
Suburbicon,2017,8
Sweet Country,2017,5
Tehran Taboo,2017,8
The Babysitter,2017,4
The Bar,2017,6
The Beguiled,2017,5
The Big Sick,2017,9
The Black Room,2017,3
The Circle,2017,2
The Citizen,2017,5
The Clapper,2017,5
The Dark Tower,2017,3
The Day After,2017,6
The Death of Stalin,2017,8
The Disaster Artist,2017,8
The Emoji Movie,2017,5
The Fate of the Furious,2017,6
The Florida Project,2017,8
The Greatest Showman,2017,5
The Hitman's Bodyguard,2017,6
The House,2017,5
The House by the Sea,2017,7
The Incredible Jessica James,2017,6
The Killing of a Sacred Deer,2017,8
The Lego Batman Movie,2017,7
The Misandrists,2017,2
The Mountain Between Us,2017,4
The Ritual,2017,7
The Shape of Water,2017,6
The Snowman,2017,4
The Third Murder,2017,6
The White Girl,2017,4
Thirst Street,2017,4
Thor: Ragnarok,2017,6
Thoroughbreds,2017,6
"Three Billboards Outside Ebbing, Missouri",2017,8
Three Lights,2017,4
Todd Barry: Spicy Honey,2017,5
Valerian and the City of a Thousand Planets,2017,4
Veronica,2017,7
Victor Crowley,2017,6
Walk with Me,2017,6
Wild Mouse,2017,7
Wind River,2017,7
Wonder Wheel,2017,6
Wonder Woman,2017,6
You Were Never Really Here,2017,7
Zombiology: Enjoy Yourself Tonight,2017,4
3 Faces,2018,7
A Land Imagined,2018,6
A Quiet Place,2018,7
A Simple Favor,2018,6
A Star Is Born,2018,6
Annihilation,2018,7
Ash Is Purest White,2018,6
Avengers: Infinity War,2018,7
Bad Times at the El Royale,2018,6
Bird Box,2018,3
Black Panther,2018,5
BlacKkKlansman,2018,8
Blockers,2018,6
Bohemian Rhapsody,2018,6
Book Club,2018,5
Border,2018,7
Breaking In,2018,4
Bumblebee,2018,4
Burning,2018,10
Casanova Gene,2018,7
Chris Rock: Tamborine,2018,6
Climax,2018,6
Crazy Rich Asians,2018,6
Deadpool 2,2018,8
Deep Blue Sea 2,2018,3
Die Wunderübung,2018,5
Eighth Grade,2018,8
El Angel,2018,6
Fantastic Beasts: The Crimes of Grindelwald,2018,4
First Man,2018,7
Game Night,2018,6
"Game Over, Man!",2018,3
Garbage,2018,3
Ghostland,2018,6
Green Book,2018,6
Gringo,2018,3
Happy as Lazzaro,2018,6
Her Smell,2018,8
Hereditary,2018,10
High Life,2018,6
Hotel Artemis,2018,5
Hotel by the River,2018,7
How to Be Really Bad,2018,6
"Human, Space, Time and Human",2018,5
I Feel Pretty,2018,4
Ideal Home,2018,5
In Fabric,2018,7
Isle of Dogs,2018,8
James Acaster: Repertoire,2018,8
Jim Jefferies: This Is Me Now,2018,8
King of Thieves,2018,3
Mamma Mia! Here We Go Again,2018,5
mid90s,2018,6
MILF,2018,3
Minding the Gap,2018,8
Mission: Impossible – Fallout,2018,8
"Murder Me, Monster",2018,4
Nightmare Cinema,2018,6
Non-Fiction,2018,7
Nothing to Hide,2018,5
Ocean's Eight,2018,4
On the Basis of Sex,2018,6
Our House,2018,6
Overboard,2018,5
Ready Player One,2018,4
Red Sparrow,2018,4
Ricky Gervais: Humanity,2018,8
Roma,2018,7
Sauerkrautkoma,2018,5
Searching,2018,7
Set It Up,2018,5
Shoplifters,2018,9
Sicario: Day of the Soldado,2018,7
Sierra Burgess Is a Loser,2018,5
Sink or Swim,2018,6
Songwriter,2018,5
Spider-Man: Into the Spider-Verse,2018,7
Support the Girls,2018,8
Suspiria,2018,7
Tag,2018,6
Terminal,2018,6
The Ballad of Buster Scruggs,2018,8
The Biggest Little Farm,2018,6
The Commuter,2018,5
The Favourite,2018,7
The House That Jack Built,2018,8
The Man Who Killed Don Quixote,2018,7
The Meg,2018,6
The Most Assassinated Woman in the World,2018,4
The Open House,2018,5
The Sisters Brothers,2018,8
The Spy Who Dumped Me,2018,5
The Week Of,2018,6
Tom Segura: Disgraceful,2018,7
Tomb Raider,2018,4
Truth or Dare,2018,2
Tully,2018,7
Under the Silver Lake,2018,8
Vice,2018,6
Vox Lux,2018,6
Welcome to Marwen,2018,6
What Doesn't Kill Us,2018,7
What Have We Done to Deserve This?,2018,6
Woman at War,2018,5
Yardie,2018,6
A Girl Missing,2019,5
A Rainy Day in New York,2019,4
Always Be My Maybe,2019,6
An Easy Girl,2019,5
Avengers: Endgame,2019,8
Berlin Bouncer,2019,4
Between Two Ferns: The Movie,2019,5
Bombshell,2019,6
Booksmart,2019,9
Brittany Runs a Marathon,2019,7
Child's Play,2019,5
Cold Pursuit,2019,6
Crawl,2019,6
Crescendo,2019,5
Deerskin,2019,7
Escape Room,2019,4
First Cow,2019,7
First Love,2019,7
Fyre,2019,7
Good Boys,2019,7
Guava Island,2019,6
Happy Death Day 2U,2019,4
Hustlers,2019,6
In the Tall Grass,2019,4
Isn't It Romantic,2019,6
Jexi,2019,3
Jojo Rabbit,2019,7
Joker,2019,8
Knives and Skin,2019,7
Knives Out,2019,8
Late Night,2019,6
Leberkäsjunkie,2019,6
Little Women,2019,8
Long Shot,2019,7
Love Machine,2019,5
Marriage Story,2019,8
Men in Black: International,2019,2
Midnight Family,2019,8
Midsommar,2019,8
Monos,2019,6
Motherless Brooklyn,2019,5
Murder Mystery,2019,5
Official Secrets,2019,7
Once Upon a Time... in Hollywood,2019,8
Otherhood,2019,4
Parasite,2019,9
Pet Sematary,2019,5
Pokémon Detective Pikachu,2019,6
Portrait of a Lady on Fire,2019,6
Ready or Not,2019,6
Rebels,2019,4
Scary Stories to Tell in the Dark,2019,6
Shazam!,2019,8
Star Wars: The Rise of Skywalker,2019,4
Swallow,2019,7
The Beach Bum,2019,8
The Collini Case,2019,5
The Dead Don't Die,2019,7
"The Gangster, the Cop, the Devil",2019,6
The Hole in the Ground,2019,6
The Irishman,2019,8
The Lighthouse,2019,8
The Lodge,2019,6
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,9
The Perfect Secret,2019,3
The Platform,2019,7
The Queen's Corgi,2019,3
The Secret Life of Pets 2,2019,5
The Silence,2019,4
The Whistlers,2019,6
Uncut Gems,2019,8
Unzertrennlich,2019,4
Velvet Buzzsaw,2019,6
Vivarium,2019,5
Wine Country,2019,5
Wounds,2019,6
Yesterday,2019,8
Young Ahmed,2019,6
Zombi Child,2019,5
Airplane Mode,2020,3
Another Round,2020,6
Berlin Alexanderplatz,2020,5
Beyond the Infinite Two Minutes,2020,7
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,6
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,6
Cheer,2020,8
Da 5 Bloods,2020,7
Davos,2020,5
Delete History,2020,6
Eurovision Song Contest: The Story of Fire Saga,2020,5
Falling,2020,5
Fantasy Island,2020,2
Fox in a Hole,2020,8
French Exit,2020,5
Friendsgiving,2020,3
Happiest Season,2020,3
I Care a Lot,2020,4
I'm Thinking of Ending Things,2020,6
Kill It and Leave This Town,2020,6
Lost Girls,2020,5
Love and Monsters,2020,5
Mainstream,2020,5
Malmkrog,2020,5
Minari,2020,8
Miss Marx,2020,6
My Octopus Teacher,2020,6
Never Rarely Sometimes Always,2020,7
Nocturne,2020,2
Nomadland,2020,8
Notes from the Underworld,2020,7
Palm Springs,2020,7
Promising Young Woman,2020,8
Rebecca,2020,4
Shirley,2020,7
Siberia,2020,3
Slow Machine,2020,7
Soul,2020,7
Spring Blossom,2020,3
The Call of the Wild,2020,2
The Calming,2020,4
The Half of It,2020,6
The Intruder,2020,4
The Invisible Man,2020,7
The Lovebirds,2020,7
The Midnight Sky,2020,4
The Truffle Hunters,2020,7
The Woman Who Ran,2020,7
The World to Come,2020,5
Tiger King,2020,7
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,7
Uncorked,2020,6
Underwater,2020,5
A Castle for Christmas,2021,2
Annette,2021,7
Army of the Dead,2021,6
Benedetta,2021,3
Bergman Island,2021,7
Bo Burnham: Inside,2021,8
Compartment No. 6,2021,8
Don't Look Up,2021,6
Dune,2021,8
Escape Room: Tournament of Champions,2021,4
Everything Went Fine,2021,6
F9,2021,4
Fatherhood,2021,4
Framing Britney Spears,2021,6
France,2021,4
Free Guy,2021,3
Happening,2021,6
Hinterland,2021,6
In Front of Your Face,2021,5
Kaiserschmarrndrama,2021,5
Licorice Pizza,2021,8
Midnight Mass,2021,8
Old,2021,5
Red Notice,2021,4
Red Rocket,2021,8
Spencer,2021,6
Squid Game,2021,6
Stuck Together,2021,4
The Card Counter,2021,6
"The French Dispatch of the Liberty, Kansas Evening Sun",2021,7
The Green Knight,2021,9
The Hand of God,2021,6
The Mitchells vs. the Machines,2021,6
The Power of the Dog,2021,6
The Protégé,2021,4
The Worst Person in the World,2021,8
Titane,2021,7
Armageddon Time,2022,6
Avatar: The Way of Water,2022,6
Barbarian,2022,5
Bodies Bodies Bodies,2022,4
Bones and All,2022,7
Broker,2022,8
Bros,2022,7
Bullet Train,2022,6
Crimes of the Future,2022,4
Day Shift,2022,3
Death on the Nile,2022,4
Decision to Leave,2022,8
Deep Water,2022,3
Everything Everywhere All at Once,2022,8
Fall,2022,2
Final Cut,2022,7
Glass Onion,2022,7
Hustle,2022,7
Incredible But True,2022,6
Jackass Forever,2022,6
Me Time,2022,3
Men,2022,4
No Bears,2022,6
Nope,2022,8
Property,2022,6
Return to Seoul,2022,6
Showing Up,2022,6
Smoking Causes Coughing,2022,7
Sparta,2022,6
Stonewalling,2022,6
The Banshees of Inisherin,2022,8
The Batman,2022,8
The Bubble,2022,5
The Eternal Daughter,2022,5
The First Slam Dunk,2022,8
The Lost City,2022,5
The Man from Toronto,2022,3
The Menu,2022,8
The Northman,2022,5
The Novelist's Film,2022,5
The Quiet Girl,2022,8
The Tinder Swindler,2022,5
The Unbearable Weight of Massive Talent,2022,7
The United States of America,2022,5
The Weekend Away,2022,2
The Whale,2022,5
Thor: Love and Thunder,2022,5
Tori and Lokita,2022,6
Vesper,2022,5
Walk Up,2022,6
Windfall,2022,6
Women Talking,2022,6
X,2022,7
American Fiction,2023,6
Anatomy of a Fall,2023,8
Asteroid City,2023,7
Bad Living,2023,6
Barbie,2023,7
Beau Is Afraid,2023,7
Candy Cane Lane,2023,3
Club Zero,2023,5
Daaaaaalí!,2023,9
Evil Does Not Exist,2023,7
Guardians of the Galaxy Vol. 3,2023,7
Happiness for Beginners,2023,4
In Our Day,2023,4
In Water,2023,6
Infinity Pool,2023,6
Kill Boksoon,2023,5
Killers of the Flower Moon,2023,8
Living Bad,2023,6
Losing Faith,2023,3
Manodrome,2023,5
Mission: Impossible – Dead Reckoning,2023,7
Murder Mystery 2,2023,5
No Hard Feelings,2023,6
Pain Hustlers,2023,4
Perpetrator,2023,5
Poor Things,2023,8
Priscilla,2023,6
Saltburn,2023,5
Seven Veils,2023,5
She Came to Me,2023,5
Sira,2023,7
Sun and Concrete,2023,8
The Bride,2023,8
The Day Iceland Stood Still,2023,6
The Holdovers,2023,7
The Intrusion,2023,5
The Old Oak,2023,7
The Zone of Interest,2023,8
Vincent Must Die,2023,4
Yannick,2023,8
You People,2023,5
Your Place or Mine,2023,3
A Different Man,2024,6
A Real Pain,2024,6
Alien: Romulus,2024,6
Anora,2024,9
Babygirl,2024,5
Brief History of a Family,2024,6
By the Stream,2024,4
Challengers,2024,8
Civil War,2024,6
Dune: Part Two,2024,7
Eden,2024,5
Emilia Pérez,2024,6
Escape from the 21st Century,2024,6
Exhuma,2024,7
Fario,2024,5
Favoriten,2024,8
Flow,2024,7
Furiosa: A Mad Max Saga,2024,8
Handling the Undead,2024,4
Heretic,2024,7
Ivo,2024,5
La Cocina,2024,7
Longlegs,2024,6
Memoir of a Snail,2024,6
Moon,2024,5
Nosferatu,2024,6
Paddington in Peru,2024,6
Parthenope,2024,6
Pavements,2024,7
Pepe,2024,4
Persona non grata,2024,7
Queer,2024,4
Realm of Satan,2024,3
Rumours,2024,6
Sasquatch Sunset,2024,5
Scoop,2024,5
Sons,2024,5
Souleymane's Story,2024,5
Spaceman,2024,5
Suspended Time,2024,5
The Brutalist,2024,8
The Devil's Bath,2024,6
The Empire,2024,1
The Fall Guy,2024,6
The Invisible Zoo,2024,7
The Room Next Door,2024,6
The Roundup: Punishment,2024,6
The Second Act,2024,6
The Seed of the Sacred Fig,2024,5
The Substance,2024,8
Treasure,2024,5
Universal Language,2024,6
Visiting Hours,2024,6
We Bury the Dead,2024,6
We Live in Time,2024,7
Wild Diamond,2024,5
28 Years Later,2025,8
A House of Dynamite,2025,5
Alpha,2025,6
Anemone,2025,4
Black Bag,2025,7
Bridget Jones: Mad About the Boy,2025,7
Bugonia,2025,5
Caught Stealing,2025,7
Dracula,2025,3
Eddington,2025,7
Elio,2025,6
Far from Being Lipizzans,2025,8
Father Mother Sister Brother,2025,7
Green Light,2025,7
Heads or Tails?,2025,5
KPop Demon Hunters,2025,6
Late Fame,2025,5
Late Shift,2025,5
Manitou's Canoe,2025,4
Marty Supreme,2025,8
Materialists,2025,7
Mickey 17,2025,8
Mission: Impossible – The Final Reckoning,2025,7
Mother's Baby,2025,6
No Other Choice,2025,8
One Battle After Another,2025,10
Pillion,2025,7
Rental Family,2025,6
Sentimental Value,2025,7
Sinners,2025,7
Superman,2025,6
THE CHASE - A Cocodona 250 Story,2025,7
The Chronology of Water,2025,6
The Fence,2025,3
The Last One for the Road,2025,6
The Last Viking,2025,4
The Long Walk,2025,6
The Mastermind,2025,8
The Naked Gun,2025,8
The Phoenician Scheme,2025,7
The Residence,2025,5
The Roses,2025,5
The Souffleur,2025,2
The Thursday Murder Club,2025,4
Titan: The OceanGate Submersible Disaster,2025,6
Together,2025,7
Unknown Number: The High School Catfish,2025,6
Wake Up Dead Man,2025,8
Weapons,2025,9
What Does That Nature Say to You,2025,5
28 Years Later: The Bone Temple,2026,7
Fabian and the Deadly Wedding,2026,2
Project Hail Mary,2026,8
The Moment,2026,6
The Super Mario Galaxy Movie,2026,4
